"Date","Open","High","Low","Close","Volume"
"01/24/2025","148.37","148.97","141.88","142.62","234,657,600"
"01/23/2025","145.05","147.23","143.72","147.22","155,915,500"
"01/22/2025","144.66","147.79","143.67","147.07","237,651,400"
"01/21/2025","139.16","141.83","137.09","140.83","197,749,000"
"01/17/2025","136.69","138.5","135.4649","137.71","201,188,800"
"01/16/2025","138.64","138.75","133.49","133.57","209,235,600"
"01/15/2025","133.65","136.45","131.29","136.24","185,217,300"
"01/14/2025","136.05","136.38","130.05","131.76","195,590,500"
"01/13/2025","129.99","133.49","129.51","133.23","204,808,900"
"01/10/2025","137.45","139.92","134.22","135.91","207,602,500"
"01/08/2025","142.58","143.95","137.56","140.11","227,349,900"
"01/07/2025","153.03","153.13","140.01","140.14","351,782,200"
"01/06/2025","148.59","152.156","147.8201","149.43","265,377,400"
"01/03/2025","140.01","144.9","139.73","144.47","229,322,500"
"01/02/2025","136","138.88","134.63","138.31","198,247,200"
"12/31/2024","138.03","138.07","133.83","134.29","155,659,200"
"12/30/2024","134.83","140.27","134.02","137.49","167,734,700"
"12/27/2024","138.55","139.02","134.71","137.01","170,582,600"
"12/26/2024","139.7","140.85","137.73","139.93","116,519,100"
"12/24/2024","140","141.9","138.65","140.22","105,157,000"
"12/23/2024","136.28","139.79","135.1201","139.67","176,053,500"
"12/20/2024","129.81","135.28","128.22","134.7","306,528,600"
"12/19/2024","131.76","134.03","129.55","130.68","209,719,200"
"12/18/2024","133.86","136.7","128.28","128.91","277,444,500"
"12/17/2024","129.09","131.59","126.86","130.39","259,410,300"
"12/16/2024","134.18","134.4","130.42","132","237,951,100"
"12/13/2024","138.94","139.6","132.54","134.25","231,514,900"
"12/12/2024","137.08","138.44","135.8","137.34","159,211,400"
"12/11/2024","137.36","140.17","135.21","139.31","184,905,200"
"12/10/2024","139.01","141.82","133.79","135.07","210,020,900"
"12/09/2024","138.97","139.95","137.13","138.81","189,308,600"
"12/06/2024","144.6","145.7","141.31","142.44","188,505,600"
"12/05/2024","145.11","146.54","143.95","145.06","172,621,200"
"12/04/2024","141.995","145.79","140.29","145.14","231,224,300"
"12/03/2024","138.26","140.54","137.95","140.26","164,414,000"
"12/02/2024","138.83","140.45","137.825","138.63","171,682,800"
"11/29/2024","136.78","139.35","136.05","138.25","141,863,200"
"11/27/2024","135.01","137.22","131.8","135.34","226,370,900"
"11/26/2024","137.7","139.3","135.67","136.92","190,287,700"
"11/25/2024","141.99","142.05","135.82","136.02","344,941,900"
"11/22/2024","145.93","147.16","141.1","141.95","236,406,200"
"11/21/2024","149.35","152.89","140.7","146.67","400,946,600"
"11/20/2024","147.41","147.56","142.73","145.89","309,871,700"
"11/19/2024","141.32","147.13","140.99","147.01","227,834,900"
"11/18/2024","139.5","141.55","137.15","140.15","221,866,000"
"11/15/2024","144.87","145.24","140.08","141.98","250,132,900"
"11/14/2024","147.64","149","145.55","146.76","194,463,300"
"11/13/2024","149.07","149.33","145.9","146.27","191,903,300"
"11/12/2024","146.78","149.65","146.01","148.29","198,634,700"
"11/11/2024","148.68","148.85","143.57","145.26","182,325,600"
"11/08/2024","148.77","149.77","146.26","147.63","175,665,800"
"11/07/2024","146.39","148.93","146.17","148.88","207,323,300"
"11/06/2024","142.96","146.49","141.96","145.61","242,043,900"
"11/05/2024","137.45","140.3701","137.33","139.91","160,537,400"
"11/04/2024","137.21","138.96","135.57","136.05","187,528,200"
"11/01/2024","134.7","137.31","134.57","135.4","207,127,800"
"10/31/2024","137.6","137.61","132.1106","132.76","270,039,600"
"10/30/2024","139.54","140.33","136.81","139.335","179,418,100"
"10/29/2024","140.285","142.2598","138.9","141.25","157,593,600"
"10/28/2024","143","143.14","140.05","140.52","173,586,700"
"10/25/2024","140.93","144.13","140.8","141.54","205,122,100"
"10/24/2024","140.82","141.35","138.46","140.41","172,354,900"
"10/23/2024","142.03","142.43","137.46","139.56","285,930,000"
"10/22/2024","142.91","144.42","141.78","143.59","226,311,600"
"10/21/2024","138.13","143.71","138","143.71","264,554,500"
"10/18/2024","138.665","138.9","137.28","138","176,090,200"
"10/17/2024","139.34","140.89","136.87","136.93","306,435,900"
"10/16/2024","133.98","136.62","131.58","135.72","264,879,700"
"10/15/2024","137.87","138.57","128.74","131.6","377,831,000"
"10/14/2024","136.47","139.6","136.3","138.07","232,347,700"
"10/11/2024","134.01","135.78","133.66","134.8","170,209,500"
"10/10/2024","131.91","135","131","134.81","242,311,300"
"10/09/2024","134.11","134.52","131.38","132.65","246,191,600"
"10/08/2024","130.26","133.48","129.42","132.89","285,722,500"
"10/07/2024","124.99","130.64","124.95","127.72","346,250,200"
"10/04/2024","124.94","125.04","121.83","124.92","244,465,600"
"10/03/2024","120.92","124.36","120.3401","122.85","277,118,000"
"10/02/2024","116.44","119.38","115.14","118.85","221,845,900"
"10/01/2024","121.765","122.4351","115.79","117","302,094,500"
"09/30/2024","118.31","121.5","118.15","121.44","227,053,700"
"09/27/2024","123.97","124.03","119.26","121.4","271,009,200"
"09/26/2024","126.8","127.665","121.8","124.04","302,582,900"
"09/25/2024","122.02","124.94","121.61","123.51","284,692,900"
"09/24/2024","116.515","121.8","115.38","120.87","354,966,800"
"09/23/2024","116.55","116.99","114.86","116.26","206,228,500"
"09/20/2024","117.06","118.6181","115.3901","116","382,462,400"
"09/19/2024","117.35","119.66","117.25","117.87","293,506,400"
"09/18/2024","115.89","117.7","113.22","113.37","310,318,900"
"09/17/2024","118.17","118.8","114.83","115.59","231,925,900"
"09/16/2024","116.79","118.18","114.36","116.78","248,772,300"
"09/13/2024","119.08","119.955","117.6","119.1","238,358,300"
"09/12/2024","116.84","120.79","115.38","119.14","367,100,500"
"09/11/2024","109.39","117.19","107.42","116.91","441,422,400"
"09/10/2024","107.81","109.4","104.95","108.1","268,283,700"
"09/09/2024","104.88","106.55","103.69","106.47","273,912,000"
"09/06/2024","108.04","108.15","100.95","102.83","413,638,100"
"09/05/2024","104.985","109.65","104.76","107.21","306,850,700"
"09/04/2024","105.41","113.27","104.12","106.21","372,470,300"
"09/03/2024","116.01","116.21","107.29","108","477,155,100"
"08/30/2024","119.53","121.75","117.22","119.37","333,751,600"
"08/29/2024","121.355","124.43","116.71","117.59","453,023,300"
"08/28/2024","128.12","128.33","122.64","125.61","448,101,100"
"08/27/2024","125.05","129.2","123.88","128.3","303,134,600"
"08/26/2024","129.57","131.26","124.37","126.46","331,964,700"
"08/23/2024","125.86","129.6","125.22","129.37","323,230,300"
"08/22/2024","130.02","130.75","123.1","123.74","376,189,100"
"08/21/2024","127.315","129.35","126.66","128.5","257,883,600"
"08/20/2024","128.4","129.88","125.89","127.25","300,087,400"
"08/19/2024","124.28","130","123.42","130","318,333,600"
"08/16/2024","121.94","125","121.18","124.58","302,589,900"
"08/15/2024","118.76","123.24","117.47","122.86","318,086,700"
"08/14/2024","118.53","118.6","114.07","118.08","339,246,400"
